l_in_bin,age,proportion
16,0,.024691358
17,0,.074074075
18,0,.086419754
19,0,.098765433
20,0,.13580246
21,0,.18518518
22,0,.17283951
23,0,.098765433
24,0,.024691358
25,0,.049382716
26,0,.024691358
27,0,0
28,0,.012345679
29,0,.012345679
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
77,0,0
78,0,0
82,0,0
16,1,0
17,1,.0039840639
18,1,.015936255
19,1,.027888447
20,1,.035856575
21,1,.011952192
22,1,.039840639
23,1,.039840639
24,1,.047808766
25,1,.055776894
26,1,.039840639
27,1,.027888447
28,1,.055776894
29,1,.05179283
30,1,.075697213
31,1,.031872511
32,1,.043824703
33,1,.031872511
34,1,.023904383
35,1,.047808766
36,1,.083665341
37,1,.055776894
38,1,.059760958
39,1,.043824703
40,1,.015936255
41,1,.019920319
42,1,.0079681277
43,1,.0039840639
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,0
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,0
77,1,0
78,1,0
82,1,0
16,2,0
17,2,0
18,2,0
19,2,0
20,2,0
21,2,0
22,2,0
23,2,0
24,2,0
25,2,0
26,2,0
27,2,.0032467532
28,2,.0032467532
29,2,.0064935065
30,2,.019480519
31,2,.012987013
32,2,.045454547
33,2,.012987013
34,2,.055194806
35,2,.045454547
36,2,.094155841
37,2,.1038961
38,2,.1038961
39,2,.08116883
40,2,.11038961
41,2,.058441557
42,2,.055194806
43,2,.038961038
44,2,.045454547
45,2,.032467533
46,2,.022727273
47,2,.0064935065
48,2,.019480519
49,2,.0097402595
50,2,0
51,2,.0032467532
52,2,.0032467532
53,2,0
54,2,0
55,2,.0032467532
56,2,0
57,2,0
58,2,0
59,2,0
60,2,0
61,2,0
62,2,0
63,2,.0032467532
64,2,0
65,2,0
66,2,0
67,2,0
68,2,0
69,2,0
70,2,0
71,2,0
72,2,0
73,2,0
74,2,0
75,2,0
77,2,0
78,2,0
82,2,0
16,3,0
17,3,0
18,3,0
19,3,0
20,3,0
21,3,0
22,3,0
23,3,0
24,3,0
25,3,0
26,3,0
27,3,0
28,3,0
29,3,0
30,3,0
31,3,0
32,3,.0064308681
33,3,.0096463021
34,3,.0064308681
35,3,.025723472
36,3,.028938906
37,3,.073954985
38,3,.05466238
39,3,.057877813
40,3,.093247585
41,3,.057877813
42,3,.051446944
43,3,.051446944
44,3,.057877813
45,3,.067524113
46,3,.083601288
47,3,.048231512
48,3,.041800644
49,3,.038585208
50,3,.03215434
51,3,.025723472
52,3,.038585208
53,3,.012861736
54,3,.012861736
55,3,.0064308681
56,3,.003215434
57,3,0
58,3,.003215434
59,3,.0064308681
60,3,.003215434
61,3,0
62,3,0
63,3,0
64,3,0
65,3,0
66,3,0
67,3,0
68,3,0
69,3,0
70,3,0
71,3,0
72,3,0
73,3,0
74,3,0
75,3,0
77,3,0
78,3,0
82,3,0
16,4,0
17,4,0
18,4,0
19,4,0
20,4,0
21,4,0
22,4,0
23,4,0
24,4,0
25,4,0
26,4,0
27,4,0
28,4,0
29,4,0
30,4,0
31,4,0
32,4,0
33,4,0
34,4,0
35,4,.0023923444
36,4,.0095693776
37,4,.019138755
38,4,.031100478
39,4,.038277511
40,4,.040669855
41,4,.038277511
42,4,.038277511
43,4,.062200956
44,4,.035885166
45,4,.045454547
46,4,.028708134
47,4,.045454547
48,4,.031100478
49,4,.035885166
50,4,.057416268
51,4,.055023924
52,4,.059808612
53,4,.047846891
54,4,.059808612
55,4,.052631579
56,4,.045454547
57,4,.023923445
58,4,.02631579
59,4,.021531101
60,4,.02631579
61,4,.0047846888
62,4,.0071770335
63,4,0
64,4,.0047846888
65,4,.0023923444
66,4,0
67,4,0
68,4,0
69,4,0
70,4,0
71,4,.0023923444
72,4,0
73,4,0
74,4,0
75,4,0
77,4,0
78,4,0
82,4,0
16,5,0
17,5,0
18,5,0
19,5,0
20,5,0
21,5,0
22,5,0
23,5,0
24,5,0
25,5,0
26,5,0
27,5,0
28,5,0
29,5,0
30,5,0
31,5,0
32,5,0
33,5,0
34,5,0
35,5,0
36,5,.0056980057
37,5,.0056980057
38,5,.017094018
39,5,.019943019
40,5,.011396011
41,5,.031339031
42,5,.031339031
43,5,.039886039
44,5,.034188036
45,5,.042735044
46,5,.031339031
47,5,.019943019
48,5,.028490029
49,5,.031339031
50,5,.019943019
51,5,.031339031
52,5,.025641026
53,5,.034188036
54,5,.056980059
55,5,.042735044
56,5,.051282052
57,5,.071225069
58,5,.054131053
59,5,.065527067
60,5,.056980059
61,5,.039886039
62,5,.031339031
63,5,.014245015
64,5,.028490029
65,5,.008547009
66,5,.0056980057
67,5,.0056980057
68,5,0
69,5,0
70,5,0
71,5,0
72,5,.0028490028
73,5,0
74,5,.0028490028
75,5,0
77,5,0
78,5,0
82,5,0
16,6,0
17,6,0
18,6,0
19,6,0
20,6,0
21,6,0
22,6,0
23,6,0
24,6,0
25,6,0
26,6,0
27,6,0
28,6,0
29,6,0
30,6,0
31,6,0
32,6,0
33,6,0
34,6,0
35,6,0
36,6,0
37,6,0
38,6,.0099502485
39,6,.014925373
40,6,.0049751243
41,6,.0099502485
42,6,.014925373
43,6,.0099502485
44,6,.014925373
45,6,.014925373
46,6,.0099502485
47,6,.019900497
48,6,.024875622
49,6,.029850746
50,6,.014925373
51,6,.014925373
52,6,.0099502485
53,6,.034825869
54,6,.034825869
55,6,.059701491
56,6,.06467662
57,6,.049751244
58,6,.06467662
59,6,.10447761
60,6,.034825869
61,6,.034825869
62,6,.059701491
63,6,.049751244
64,6,.029850746
65,6,.034825869
66,6,.049751244
67,6,.019900497
68,6,.014925373
69,6,.014925373
70,6,.0099502485
71,6,.0099502485
72,6,0
73,6,.0049751243
74,6,0
75,6,0
77,6,0
78,6,0
82,6,0
16,7,0
17,7,0
18,7,0
19,7,0
20,7,0
21,7,0
22,7,0
23,7,0
24,7,0
25,7,0
26,7,0
27,7,0
28,7,0
29,7,0
30,7,0
31,7,0
32,7,0
33,7,0
34,7,0
35,7,0
36,7,0
37,7,0
38,7,.0024875621
39,7,.0074626864
40,7,.0049751243
41,7,.014925373
42,7,.012437811
43,7,.017412934
44,7,.0099502485
45,7,.027363185
46,7,.019900497
47,7,.029850746
48,7,.027363185
49,7,.027363185
50,7,.039800994
51,7,.019900497
52,7,.039800994
53,7,.0074626864
54,7,.014925373
55,7,.0099502485
56,7,.014925373
57,7,.012437811
58,7,.017412934
59,7,.049751244
60,7,.057213929
61,7,.037313432
62,7,.044776119
63,7,.034825869
64,7,.044776119
65,7,.049751244
66,7,.03233831
67,7,.042288557
68,7,.062189054
69,7,.024875622
70,7,.039800994
71,7,.017412934
72,7,.029850746
73,7,.017412934
74,7,.012437811
75,7,.012437811
77,7,.0024875621
78,7,.0074626864
82,7,.0024875621
